cityId,city,province
1,Thibodaux,LA
2,Pigeon Forge,TN
3,Morrow,GA
4,Detroit,MI
5,Oceanside,CA
6,Riverhead,NY
7,Monahans,TX
8,Mabank,TX
9,Missouri City,TX
10,Akron,OH
11,Eastland,TX
12,Azusa,CA
13,Summerville,SC
14,Oregon,OH
15,Los Angeles,CA
16,Pearl,MS
17,Grand Rapids,MI
18,Shelbyville,IN
19,Brooklyn,NY
20,Augusta,GA
21,Arlington,MA
22,Schenectady,NY
23,Kingston,NY
24,New York,NY
25,Uniondale,NY
26,Jericho,NY
27,Albany,NY
28,Bronx,NY
29,Buffalo,NY
30,Tonawanda,NY
31,Woburn,MA
32,Whitinsville,MA
33,Wilmington,MA
34,Webster,MA
35,Waltham,MA
36,Townsend,MA
37,Walpole,MA
38,Taunton,MA
39,Springfield,MA
40,Spencer,MA
41,Miami,FL
42,Wylie,TX
43,Tyler,TX
44,Columbia,MO
45,Savannah,GA
46,Marietta,GA
47,McDonough,GA
48,Monroe,GA
49,Milledgeville,GA
50,Loganville,GA
51,Lithonia,GA
52,Danvers,MA
53,Ravenna,OH
54,Arlington,TX
55,Attleboro,MA
56,El Cajon,CA
57,Willow Grove,PA
58,Fontana,CA
59,Encino,CA
60,Encinitas,CA
61,Downey,CA
62,San Diego,CA
63,Cypress,TX
64,Pleasant Hill,CA
65,Castro Valley,CA
66,San Jose,CA
67,Compton,CA
68,Chula Vista,CA
69,Chico,CA
70,Arroyo Grande,CA
71,Palm Desert,CA
72,Canoga Park,CA
73,Capitola,CA
74,Camarillo,CA
75,Barstow,CA
76,Baldwin Park,CA
77,La Puente,CA
78,Bishop,CA
79,Americus,GA
80,Anderson,SC
81,Alhambra,CA
82,Neoga,IL
83,Newton,IL
84,Chatsworth,CA
85,Cedartown,GA
86,Glastonbury,CT
87,Campbellsville,KY
88,Fairfield,CA
89,Ashland,KY
90,Fort Pierce,FL
91,Brooksville,FL
92,Hobe Sound,FL
93,Navarre,FL
94,Hialeah,FL
95,Haines City,FL
96,Saint Augustine,FL
97,Deltona,FL
98,DeFuniak Springs,FL
99,Estero,FL
100,Brandon,FL
101,Belle Glade,FL
102,Avon Park,FL
103,Wauchula,FL
104,Apopka,FL
105,Arkansas City,KS
106,Dodge City,KS
107,Ankeny,IA
108,Kahului,HI
109,Ames,IA
110,Boise,ID
111,Burlington,NC
112,Bettendorf,IA
113,Charlotte,NC
114,Hesperia,CA
115,Hawthorne,CA
116,Granada Hills,CA
117,Dover,DE
118,Fountain Inn,SC
119,Lebanon,PA
120,Claymont,DE
121,Chandler,AZ
122,Plover,WI
123,Aurora,CO
124,Energy,IL
125,Pea Ridge,AR
126,Clarksville,TN
127,Alliance,OH
128,Bryant,AR
129,Flagstaff,AZ
130,Brookings,SD
131,Apache Junction,AZ
132,Bluefield,WV
133,Beckley,WV
134,Highland Park,IL
135,Buckhannon,WV
136,Cody,WY
137,Cheyenne,WY
138,Collierville,TN
139,Casper,WY
140,Cordova,TN
141,Mobridge,SD
142,Defiance,OH
143,Fairborn,OH
144,Aberdeen,SD
145,Blountville,TN
146,Berea,KY
147,East Liverpool,OH
148,Lima,OH
149,Circleville,OH
150,Chardon,OH
151,Bellefontaine,OH
152,Broadview Heights,OH
153,Chippewa Falls,WI
154,Delavan,WI
155,Christiansburg,VA
156,Farmville,VA
157,Charlottesville,VA
158,Gresham,OR
159,El Paso,TX
160,Wharton,TX
161,Denison,TX
162,Penitas,TX
163,Eagle Pass,TX
164,Del Rio,TX
165,Bryan,TX
166,Cleburne,TX
167,Burleson,TX
168,Bellaire,TX
169,Abilene,TX
170,Beeville,TX
171,Pettus,TX
172,Sinton,TX
173,Angleton,TX
174,Flourtown,PA
175,Chestertown,MD
176,Alice,TX
177,Orlando,FL
178,Columbia,MD
179,Elkridge,MD
180,Fairless Hills,PA
181,Ephrata,PA
182,Ottumwa,IA
183,Abingdon,VA
184,Alexandria,VA
185,Ebensburg,PA
186,Erie,PA
187,Florence,KY
188,Coopersburg,PA
189,Clarion,PA
190,Canonsburg,PA
191,Berwick,PA
192,Bethel Park,PA
193,Frankfort,KY
194,Seattle,WA
195,Crawfordsville,IN
196,Milwaukee,WI
197,Layton,UT
198,Goshen,IN
199,Gaffney,SC
200,Elko,NV
201,Coram,NY
202,Laurel,MD
203,Brookhaven,MS
204,Corning,NY
205,Amityville,NY
206,Pickens,SC
207,Spartanburg,SC
208,Gambrills,MD
209,Red Springs,NC
210,Glen Cove,NY
211,Van,TX
212,Tivoli,TX
213,Rusk,TX
214,Borger,TX
215,San Marcos,TX
216,San Antonio,TX
217,Virginia Beach,VA
218,Norfolk,VA
219,Richmond,VA
220,Roanoke,VA
221,Portsmouth,VA
222,Pulaski,VA
223,Newport News,VA
224,Lynchburg,VA
225,Lawrenceville,VA
226,Meridian,ID
227,Las Vegas,NV
228,Dayton,NV
229,Utica,MI
230,Ann Arbor,MI
231,Bakersfield,CA
232,Portage,IN
233,Evansville,IN
234,Indianapolis,IN
235,Mishawaka,IN
236,North Manchester,IN
237,New Albany,IN
238,Wayne,MI
239,Mattoon,IL
240,Chicago,IL
241,El Paso,IL
242,Mahomet,IL
243,Cambridge,MA
244,Boston,MA
245,Lincoln Park,MI
246,Massillon,OH
247,Kings Mountain,NC
248,Pekin,IL
249,Peoria,IL
250,Gilbert,AZ
251,Petersburg,IL
252,Decatur,IL
253,Cary,IL
254,Monmouth,IL
255,Marion,IL
256,Columbus,OH
257,Polo,IL
258,McAlester,OK
259,Oklahoma City,OK
260,Lafayette,LA
261,Montrose,MI
262,Manassas,VA
263,Sylvania,OH
264,Cartersville,GA
265,Bowdon,GA
266,Macon,GA
267,Gainesville,GA
268,Warner Robins,GA
269,Albany,GA
270,Barnesville,GA
271,North Augusta,SC
272,Pensacola,FL
273,Panama City,FL
274,Atlanta,GA
275,Jonesboro,GA
276,Jacksonville,FL
277,Atlantic Beach,FL
278,Fort Walton Beach,FL
279,Graceville,FL
280,DeLand,FL
281,Harrington,DE
282,Chattahoochee,FL
283,Springdale,AR
284,Bangor,ME
285,Daleville,VA
286,Dickinson,ND
287,Asheboro,NC
288,Winston-Salem,NC
289,Saint Louis,MO
290,Eunice,LA
291,Festus,MO
292,Florissant,MO
293,Cape Girardeau,MO
294,New Philadelphia,OH
295,Cambridge,OH
296,Florence,SC
297,Derry,NH
298,Rutland,VT
299,Enosburg Falls,VT
300,West Helena,AR
301,South Burlington,VT
302,Essex Junction,VT
303,Colchester,VT
304,Adairsville,GA
305,Salt Lake City,UT
306,Ogden,UT
307,Provo,UT
308,Veradale,WA
309,Brigham City,UT
310,Yelm,WA
311,Clarksburg,WV
312,Yakima,WA
313,Walla Walla,WA
314,Woodland,WA
315,East Lansing,MI
316,Davison,MI
317,Murray,KY
318,Owensboro,KY
319,Rutherford,NJ
320,Omaha,NE
321,Charlevoix,MI
322,Bellevue,NE
323,Fremont,NE
324,Norfolk,NE
325,Wahoo,NE
326,Saginaw,MI
327,Norwood,NJ
328,Budd Lake,NJ
329,Auburn Hills,MI
330,Belvidere,IL
331,Breese,IL
332,Braidwood,IL
333,Bolingbrook,IL
334,Bradley,IL
335,Bourbonnais,IL
336,Plainwell,MI
337,Berwyn,IL
338,Belleville,IL
339,Aurora,IL
340,Alpena,MI
341,Sulphur,LA
342,Aledo,IL
343,Algonquin,IL
344,Conroe,TX
345,Nampa,ID
346,Baton Rouge,LA
347,Eagle,ID
348,Emmett,ID
349,Belle Vernon,PA
350,Aliquippa,PA
351,Wendell,NC
352,Lumberton,NC
353,Lancaster,CA
354,Paris,TX
355,North Richland Hills,TX
356,Little Elm,TX
357,Lubbock,TX
358,Keller,TX
359,Hamilton,TX
360,Gainesville,TX
361,Chaska,MN
362,Burnsville,MN
363,Jackson,MS
364,Biloxi,MS
365,Columbus,MS
366,High Point,NC
367,Albert Lea,MN
368,Raleigh,NC
369,Libby,MT
370,Bellingham,WA
371,Moss Point,MS
372,Lexington,NC
373,Kernersville,NC
374,Bozeman,MT
375,Conover,NC
376,Missoula,MT
377,Cleveland,MS
378,Southaven,MS
379,Greensboro,NC
380,Scotland Neck,NC
381,Fayetteville,NC
382,Whitefish,MT
383,Salisbury,NC
384,Milpitas,CA
385,Santa Maria,CA
386,Sacramento,CA
387,Fairview Heights,IL
388,Park Hills,MO
389,Rockford,IL
390,West Monroe,LA
391,Hartland,MI
392,Quincy,IL
393,Richton Park,IL
394,Pontiac,IL
395,Grove City,OH
396,Oglesby,IL
397,Auburn,CA
398,Crescent City,CA
399,Turlock,CA
400,Marquette,MI
401,Salisbury,MD
402,Hilliard,OH
403,Linthicum Heights,MD
404,Mount Vernon,IL
405,Cambridge,MD
406,Hamilton,OH
407,Mount Carmel,IL
408,Montgomery,IL
409,Chalfont,PA
410,Moline,IL
411,Melrose Park,IL
412,Dayton,OH
413,East Peoria,IL
414,Machesney Park,IL
415,Macomb,IL
416,Saint Clair,PA
